IP,HOP,AS,Metadata1,Metadata2,Metadata3
172.24.96.1,1,Unknown,Geo: N/A,rDNS: N/A,ISP: N/A
192.168.1.1,2,Unknown,Geo: N/A,rDNS: N/A,ISP: N/A
186.106.0.1,3,AS7418,"Geo: -33.4569,-70.6483",rDNS: N/A,ISP: AS7418 TELEFÓNICA CHILE S.A.
10.50.3.22,4,Unknown,Geo: N/A,rDNS: N/A,ISP: N/A
5.53.3.75,6,AS12956,"Geo: 25.7743,-80.1937",rDNS: N/A,ISP: AS12956 TELEFONICA GLOBAL SOLUTIONS SL
213.140.43.206,7,AS12956,"Geo: 25.7743,-80.1937",rDNS: N/A,ISP: AS12956 TELEFONICA GLOBAL SOLUTIONS SL
213.46.186.17,8,AS6830,"Geo: 52.2592,4.7597",rDNS: us-mia01a-ri1-ae-5-0.aorta.net,ISP: AS6830 Liberty Global B.V.
