IP,HOP,AS,Geo,rDNS,ISP,Country,Region,City,Timezone,ASN_Info
172.24.96.1,1,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192.168.1.1,2,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
186.106.0.1,3,AS7418,"-33.4569,-70.6483",N/A,AS7418 TELEFÓNICA CHILE S.A.,Chile,Santiago Metropolitan,Santiago,N/A,N/A
10.50.3.21,4,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10.50.3.22,5,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
171.75.8.23,9,AS3356,"50.8505,4.3488",ae1.11.edge4.bru1.neo.colt.net,"AS3356 Level 3 Parent, LLC",United Kingdom,England,London,N/A,N/A
212.133.24.90,10,AS3356,"50.8505,4.3488",belnet.edge4.brussels1.level3.net,"AS3356 Level 3 Parent, LLC",Belgium,Brussels Capital,Brussels,N/A,N/A
193.191.3.86,12,AS2611,"50.8505,4.3488",ucl.r1.lln.belnet.net,AS2611 BELNET,Belgium,Flanders,Torhout,N/A,N/A
130.104.228.159,17,AS2611,"50.8505,4.3488",ripe-atlas.info.ucl.ac.be,AS2611 BELNET,Belgium,Wallonia,Liège,N/A,N/A
