IP,HOP,AS,Metadata1,Metadata2,Metadata3
172.24.96.1,1,Unknown,Geo: N/A,rDNS: N/A,ISP: N/A
192.168.1.1,2,Unknown,Geo: N/A,rDNS: N/A,ISP: N/A
186.106.0.1,3,AS7418,"Geo: -33.4569,-70.6483",rDNS: N/A,ISP: AS7418 TELEFÓNICA CHILE S.A.
10.50.3.21,4,Unknown,Geo: N/A,rDNS: N/A,ISP: N/A
10.50.3.22,5,Unknown,Geo: N/A,rDNS: N/A,ISP: N/A
171.75.8.23,9,AS3356,"Geo: 50.8505,4.3488",rDNS: ae1.11.edge4.bru1.neo.colt.net,"ISP: AS3356 Level 3 Parent, LLC"
212.133.24.90,10,AS3356,"Geo: 50.8505,4.3488",rDNS: belnet.edge4.brussels1.level3.net,"ISP: AS3356 Level 3 Parent, LLC"
193.191.3.86,12,AS2611,"Geo: 50.8505,4.3488",rDNS: ucl.r1.lln.belnet.net,ISP: AS2611 BELNET
130.104.228.159,17,AS2611,"Geo: 50.8505,4.3488",rDNS: ripe-atlas.info.ucl.ac.be,ISP: AS2611 BELNET
