IP,HOP,AS,Metadata1,Metadata2,Metadata3
172.24.96.1,1,Unknown,Geo: N/A,rDNS: N/A,ISP: N/A
192.168.1.1,2,Unknown,Geo: N/A,rDNS: N/A,ISP: N/A
186.106.0.1,3,AS7418,"Geo: -33.4569,-70.6483",rDNS: N/A,ISP: AS7418 TELEFÓNICA CHILE S.A.
10.50.3.21,4,Unknown,Geo: N/A,rDNS: N/A,ISP: N/A
10.50.3.10,5,Unknown,Geo: N/A,rDNS: N/A,ISP: N/A
213.140.39.160,6,AS12956,"Geo: -33.4569,-70.6483",rDNS: N/A,ISP: AS12956 TELEFONICA GLOBAL SOLUTIONS SL
176.52.248.55,7,AS12956,"Geo: 25.7743,-80.1937",rDNS: N/A,ISP: AS12956 TELEFONICA GLOBAL SOLUTIONS SL
213.140.43.206,8,AS12956,"Geo: 25.7743,-80.1937",rDNS: N/A,ISP: AS12956 TELEFONICA GLOBAL SOLUTIONS SL
94.142.107.213,9,AS12956,"Geo: 25.7743,-80.1937",rDNS: N/A,ISP: AS12956 TELEFONICA GLOBAL SOLUTIONS SL
62.115.120.176,10,AS1299,"Geo: 39.0437,-77.4875",rDNS: ash-bb2-link.ip.twelve99.net,ISP: AS1299 Arelion Sweden AB
62.115.123.125,11,AS1299,"Geo: 39.0437,-77.4875",rDNS: ash-b2-link.ip.twelve99.net,ISP: AS1299 Arelion Sweden AB
62.115.56.201,12,AS1299,"Geo: 39.0437,-77.4875",rDNS: hetzner-ic-378288.ip.twelve99-cust.net,ISP: AS1299 Arelion Sweden AB
5.161.0.86,13,AS213230,"Geo: 38.8951,-77.0364",rDNS: spine2.cloud1.ash.hetzner.com,ISP: AS213230 Hetzner Online GmbH
5.161.9.171,15,AS213230,"Geo: 39.0437,-77.4875",rDNS: 17780.your-cloud.host,ISP: AS213230 Hetzner Online GmbH
